Réf. Part.;Type partenaire;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Taux;Code département;Denom part.;Adresse part.;CP part.;Ville part.;Blacklistage;Motif blacklistage;Date blacklistage
EG0425065;;52915946;"Optical Center";"32 r Rochettes 42100 SAINT ETIENNE";;;;09324735;Annonceur Module;Taux 2;042;"Optical Center - SAINT-ÉTIENNE - MONTHIEU";"32 Rue des Rochettes";42100;"SAINT-ÉTIENNE";;;
EG0425066;;51278754;"Optical Center";"32   r Dames 78340 Les Clayes sous Bois";;;;51278754;Annonceur;Taux 3;078;"Optical Center - PLAISIR - LES CLAYES-SOUS-BOIS";"ZI des Dames  32 Bis Rue des Dames";78340;"LES CLAYES SOUS BOIS";;;
EG0425067;;51620324;"Optical Center";"117 rte Lyon 71000 MACON";;;;09324735;Annonceur Module;Taux 2;071;"Optical Center - MÂCON";"117 Route de Lyon";71000;"MACON";;;
EG0425068;;52915896;"Optical Center";"3 rte Ingersheim 68000 COLMAR";;;;09324735;Annonceur Module;Taux 2;068;"Optical Center - COLMAR";"3 Route d'Ingersheim";68000;"COLMAR";;;
EG0425069;;51222419;"Optical Center";"6 zac Coudoulet 84100 Orange";;;;09324735;Annonceur Module;Taux 2;084;"Optical Center - ORANGE - COUDOULET";"6 Avenue de l'Europe";84100;"Orange";;;
EG0425070;;50476346;"Optical Center";"10 r Mar Joffre 37100 TOURS";;;;09324735;Annonceur Module;Taux 2;037;"Optical Center - TOURS - NORD";"10 Rue Maréchal Joffre";37100;"TOURS";;;
EG0425071;;50474271;"Optical Center";"106 av Charles de Gaulle 69720 SAINT BONNET DE MURE";;;;53550706;Annonceur Module;Taux 2;069;"Optical Center - SAINT-BONNET-DE-MURE";"106 Route Nationale 6";69720;"SAINT-BONNET-DE-MURE";;;
EG0425072;;51054073;"Optical Center";"104 av Jean Jaurès 63200 Mozac";;;;09324735;Annonceur Module;Taux 2;063;"Optical Center - MOZAC";"104 Avenue Jean Jaurès";63200;"MOZAC";;;
EG0425073;;51112356;"Optical Center";"81 r Paris 59500 Douai";;;;09324735;Annonceur Module;Taux 2;059;"Optical Center - DOUAI";"81 87 Rue de Paris";59500;"DOUAI";;;
EG0425074;;50521662;"Optical Center";"pl Camille Jouffray 38200 VIENNE";;;;09324735;Annonceur Module;Taux 2;038;"Optical Center - VIENNE";"Place Camille Jouffray";38200;"VIENNE";;;
EG0425075;;52394168;"Optical Center";"  all Ailes 03200 Vichy";;;;09324735;Annonceur Module;Taux 2;003;"Optical Center - VICHY";"Allée des Ailes  Zone Commerciale des Ailes";03200;"VICHY";;;
EG0425077;;59188308;"Audioprothésiste LIMONEST Optical Center";"rte Nationale 6 69760 Limonest";;;;53550706;Annonceur Module;Taux 2;069;"Optical Center - LIMONEST";"1022 Route Nationale 6  Le Puy d'Or";69760;"LIMONEST";;;
EG0425078;;53324065;"Optical Center";"26 all Lacapelette 47550 BOE";;;;09324735;Annonceur Module;Taux 2;047;"Optical Center - AGEN - BOÉ";"26 Route de la Capelette";47550;"BOE";;;
EG0425079;;51255159;"Optical Center";"85   crs Mar de Lattre de Tassigny 33210 Langon";;;;09324735;Annonceur Module;Taux 2;033;"Optical Center - LANGON";"85 Cours du Mal de Lattre Tassigny";33210;"Langon";;;
EG0425080;;51498828;"Optical Center";"16 r Gustave Eiffel 77170 BRIE COMTE ROBERT";;;;09324735;Annonceur Module;Taux 2;077;"Optical Center - BRIE-COMTE-ROBERT";"16 Rue Gustave Eiffel";77170;"BRIE COMTE ROBERT";;;
EG0425081;;51055044;"Optical Center";"zi Vallée du Gier 69700 Givors";;;;09324735;Annonceur Module;Taux 2;069;"Optical Center - GIVORS";"Rue de la Paix";69700;"GIVORS";;;
EG0425082;;52915955;"Optical Center GAP";"68 av Emile Didier 05000 GAP";;;;09324735;Annonceur Module;Taux 2;005;"Optical Center - GAP";"68B Avenue Emile Didier";05000;"GAP";;;
EG0425083;;51176069;"Optical Center";"79   av République 71200 Le Creusot";;;;09324735;Annonceur Module;Taux 2;071;"Optical Center - LE CREUSOT";"79 Avenue de la République";71200;"LE CREUSOT";;;
EG0425084;;51184770;"Optical Center";"49 rte Lavaur 31240 L'Union";;;;09324735;Annonceur Module;Taux 2;031;"Optical Center - TOULOUSE - BALMA";"49 Route de Lavaur";31240;"L'UNION";;;
EG0425085;;51538260;"Optical Center";"zac Baterses 01700 Beynost";;;;09324735;Annonceur Module;Taux 2;001;"Optical Center - BEYNOST";"ZAC des Baterses  Chemin des Malettes";01700;"BEYNOST";;;
EG0425086;;52915948;"Optical Center";"12 av Mar Juin 85180 CHATEAU D'OLONNE";;;;09324735;Annonceur Module;Taux 2;085;"Optical Center - CHÂTEAU-D'OLONNE";"12 Avenue du Maréchal Juin";85180;"CHATEAU D OLONNE";;;
EG0425087;;59184966;"Audioprothésiste AMBéRIEU-EN-BUGEY Optical Center";"ld Zone Commerciale Aviation 01500 Ambérieu en Bugey";;;;53550706;Annonceur Module;Taux 2;001;"Optical Center - AMBÉRIEU-EN-BUGEY";"Lieu dit Terreau  Zone Commerciale de l'Aviation";01500;"AMBÉRIEU-EN-BUGEY";;;
EG0425088;;51044059;"Optical Center";"rte Lyon 07430 DAVEZIEUX";;;;09324735;Annonceur Module;Taux 2;007;"Optical Center - ANNONAY - DAVÉZIEUX";"Route de Lyon";07430;"DAVÉZIEUX";;;
EG0425089;;51861943;"Optical Center";"31   rte Douai 59810 Lesquin";;;;09324735;Annonceur Module;Taux 2;059;"Optical Center - LESQUIN";"31 Route de Douai";59810;"LESQUIN";;;
EG0425091;;52971511;"Optical Center";"229 r Gouesnou 29200 BREST";;;;09324735;Annonceur Module;Taux 2;029;"Optical Center - BREST - KERGARADEC";"229 Rue de Gouesnou";29200;"BREST";;;
EG0425092;;51683823;"Optical Center";"57 r Victor Hugo 62200 BOULOGNE SUR MER";;;;09324735;Annonceur Module;Taux 2;062;"Optical Center - BOULOGNE-SUR-MER";"59 Rue Victor Hugo";62200;"BOULOGNE SUR MER";;;
EG0425093;;51483213;"Optical Center";"12   r Normandie 78630 Orgeval";;;;09324735;Annonceur Module;Taux 2;078;"Optical Center - ORGEVAL";"12 Rue de Normandie";78630;"ORGEVAL";;;
EG0425094;;51311079;"Audioprothésiste RENNES - SAINT-GRéGOIRE Optical Center";"119 av Gros Malhon 35000 RENNES";;;;53550706;Annonceur Module;Taux 2;035;"Optical Center - RENNES - SAINT-GRÉGOIRE";"119 Avenue Gros Malhon";35000;"RENNES";;;
EG0425095;;53649209;"Optical Center";"r Jean Joseph Etienne Lenoir 62700 BRUAY LA BUISSIERE";;;;09324735;Annonceur Module;Taux 2;062;"Optical Center - BRUAY-LA-BUISSIÈRE";"Rue Jean Joseph Etienne Lenoir  Parc de la Porte Nord";62700;"BRUAY LA BUISSIERE";;;
